Accession #,Active yes/no,Additional disclaimer,Appearance,Application  Usage,Applications,Background,Binding Capacity,Biological activity,Buffer,Cas number,Clone,Concentration,Conjugate,Cross-reactivity,Date last updated,Disclaimer,EG number,Endotoxin Level,Extra information,Formulation,GeneIDURL,Handling,Hazardous Goods,Host,Immunogen,InChi,Isotype,Kit components,MDL Number,MSDS Available?,Molecular Form,Molecular Weight,NCBI GENE ID #,NCBI OFFICIAL FULL NAME,NCBI OFFICIAL SYMBOL,NCBI ORGANISM,PDF Datasheet,Packaging,Peptide sequence,Physical State,Physical form description,Price ITK/ImTec,Price LabNed,Product Description ITK,Product Type,Product category ITK,Product category LabNed,Product category by research field,Protein GI #,ProteinID,ProteinIDURL,PubChem CID,Purification,Purity,REACH number,Reactivity,Recommended Dilution,Reconstitution Instructions,Regulatory Statement,Related Products,Release Date,Research Area,SWISSPROT #,Salt Form,Sample Type,Shelf life,Shipping Conditions,Shipping costs,Size,Solubility/Reconstitution Instructions,Source,Stamnummer,Storage Conditions,Structure Available,Supplier,Supplier artikel nummer,Tags,Target,UNSPSC number,URL Datasheet,USDA Disclaimer,Unit Definition,User note,Web Category,code,description,image1_text,image2_text,name,not supplied reagents  equipment,picture,price,productid,references,review,vat
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human iFluor 488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023005 ,2-80°C with minimized light exposure.,,AAT Bioquest,10230051,,CD2389 ,12352203,,,,,,9210230051,,,,CD23 Humane iFluor 488 Antibody,,,,9210230051,,,LN9206986
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023006 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230060,,CD23 ,12352203,,,,,,9210230060,,,,CD23 Human iFluor 514 Antibody,,,,9210230860,,,LN9206987
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023006 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230061,,CD23 ,12352203,,,,,,9210230061,,,,CD23 Human iFluor 514 Antibody,,,,111223232,,,LN9206988
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023007 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230070,,CD23 ,12352203,,,,,,9210230070,,,,CD23 Human iFluor 532 Antibody,,,,9210230070,,,LN9206989
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023007 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230071,,CD23 ,12352203,,,,,,9210230071,,,,CD23 Human iFluor 532 Antibody,,,,9210230071,,,LN9206990
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023008 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230080,,CD23 ,12352203,,,,,,9210230080,,,,CD23 Human iFluor 546 Antibody,,,,9210230080,,,LN9206991
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023008 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230081,,CD23 ,12352203,,,,,,9210230081,,,,CD23 Human iFluor 546 Antibody,,,,9210230081,,,LN9206992
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023009 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230090,,CD23 ,12352203,,,,,,9210230090,,,,CD23 Human iFluor 555 Antibody,,,,9210230090,,,LN9206993
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023009 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230091,,CD23 ,12352203,,,,,,9210230091,,,,CD23 Human iFluor 555 Antibody,,,,9210230091,,,LN9206994
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,CD23 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92102300E ,2-8°C with minimized light exposure.,,AAT Bioquest,102300,,CD23 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd23-antibody-ebvcs-5,,,,,92102300,,,,CD23 Human iFluor 633 Antibody,,,,92102300,,,LN9207003
