u/_key,u/_id,u/_rev,u/basic/Accession #,u/basic/Active yes/no,u/basic/Additional disclaimer,u/basic/Appearance,u/basic/Application  Usage,u/basic/Applications,u/basic/Background,u/basic/Binding Capacity,u/basic/Biological activity,u/basic/Buffer,u/basic/Cas number,u/basic/Clone,u/basic/Concentration,u/basic/Conjugate,u/basic/Cross-reactivity,u/basic/Date last updated,u/basic/Disclaimer,u/basic/EG number,u/basic/Endotoxin Level,u/basic/Extra information,u/basic/Formulation,u/basic/GeneIDURL,u/basic/Handling,u/basic/Hazardous Goods,u/basic/Host,u/basic/Immunogen,u/basic/InChi,u/basic/Isotype,u/basic/Kit components,u/basic/MDL Number,u/basic/MSDS Available?,u/basic/Molecular Form,u/basic/Molecular Weight,u/basic/NCBI GENE ID #,u/basic/NCBI OFFICIAL FULL NAME,u/basic/NCBI OFFICIAL SYMBOL,u/basic/NCBI ORGANISM,u/basic/PDF Datasheet,u/basic/Packaging,u/basic/Peptide sequence,u/basic/Physical State,u/basic/Physical form description,u/basic/Price ITK/ImTec,u/basic/Price LabNed,u/basic/Product Description ITK,u/basic/Product Type,u/basic/Product category ITK,u/basic/Product category LabNed,u/basic/Product category by research field,u/basic/Protein GI #,u/basic/ProteinID,u/basic/ProteinIDURL,u/basic/PubChem CID,u/basic/Purification,u/basic/Purity,u/basic/REACH number,u/basic/Reactivity,u/basic/Recommended Dilution,u/basic/Reconstitution Instructions,u/basic/Regulatory Statement,u/basic/Related Products,u/basic/Release Date,u/basic/Research Area,u/basic/SWISSPROT #,u/basic/Salt Form,u/basic/Sample Type,u/basic/Shelf life,u/basic/Shipping Conditions,u/basic/Shipping costs,u/basic/Size,u/basic/Solubility/Reconstitution Instructions,u/basic/Source,u/basic/Stamnummer,u/basic/Storage Conditions,u/basic/Structure Available,u/basic/Supplier,u/basic/Supplier artikel nummer,u/basic/Tags,u/basic/Target,u/basic/UNSPSC number,u/basic/URL Datasheet,u/basic/USDA Disclaimer,u/basic/Unit Definition,u/basic/User note,u/basic/Web Category,u/basic/code,u/basic/description,u/basic/image1_text,u/basic/image2_text,u/basic/name,u/basic/not supplied reagents  equipment,u/basic/picture,u/basic/price,u/basic/productid,u/basic/references,u/basic/review,u/basic/vat,u/code,u/checkbox,u/seo/meta_author,u/seo/meta_description,u/seo/meta_keywords,u/seo/product_tags,u/seo/url_slug,u/searchNames/0,u/searchNames/1,u/searchNames/2,u/searchNames/3
349446112,k2p_product/349446112,_ibCpVu2--9,,Y,,,,FC,,,,,,HI264,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235004 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350040,,CD235 ,12352203,,,,,,9212350040,,,,CD235 Human iFluor 450 Antibody,,,,9212350040,,,LN9211244,9212350040,false,LabNed,,,,cd235-human-ifluor-450-antibody-ln9211244,,cd235humanifluor450antibody,ln9211244,hi264
349446114,k2p_product/349446114,_ibCpVu2-_E,,Y,,,,FC,,,,,,HI264,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235004 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350041,,CD235 ,12352203,,,,,,9212350041,,,,CD235 Human iFluor 450 Antibody,,,,9212350041,,,LN9211245,9212350041,false,LabNed,,,,cd235-human-ifluor-450-antibody-ln9211245,,cd235humanifluor450antibody,ln9211245,hi264
349446116,k2p_product/349446116,_ibCpVu2-_L,,Y,,,,FC,,,,,,HI264,,iFluor 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235005 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350050,,CD235 ,12352203,,,,,,9212350050,,,,CD235 Human iFluor 488 Antibody,,,,9212350050,,,LN9211246,9212350050,false,LabNed,,,,cd235-human-ifluor-488-antibody-ln9211246,,cd235humanifluor488antibody,ln9211246,hi264
349446118,k2p_product/349446118,_ibCpVu2-_S,,Y,,,,FC,,,,,,HI264,,iFluor 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235005 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350051,,CD235 ,12352203,,,,,,9212350051,,,,CD235 Human iFluor 488 Antibody,,,,9212350051,,,LN9211247,9212350051,false,LabNed,,,,cd235-human-ifluor-488-antibody-ln9211247,,cd235humanifluor488antibody,ln9211247,hi264
349446120,k2p_product/349446120,_ibCpVu2-_Y,,Y,,,,FC,,,,,,HI264,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235006 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350060,,CD235 ,12352203,,,,,,9212350060,,,,CD235 Human iFluor 514 Antibody,,,,9212350060,,,LN9211248,9212350060,false,LabNed,,,,cd235-human-ifluor-514-antibody-ln9211248,,cd235humanifluor514antibody,ln9211248,hi264
349446122,k2p_product/349446122,_ibCpVu2-_f,,Y,,,,FC,,,,,,HI264,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235006 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350061,,CD235 ,12352203,,,,,,9212350061,,,,CD235 Human iFluor 514 Antibody,,,,9212350061,,,LN9211249,9212350061,false,LabNed,,,,cd235-human-ifluor-514-antibody-ln9211249,,cd235humanifluor514antibody,ln9211249,hi264
349446124,k2p_product/349446124,_ibCpVu2-_p,,Y,,,,FC,,,,,,HI264,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235007 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350070,,CD235 ,12352203,,,,,,9212350070,,,,CD235 Human iFluor 532 Antibody,,,,9212350070,,,LN9211250,9212350070,false,LabNed,,,,cd235-human-ifluor-532-antibody-ln9211250,,cd235humanifluor532antibody,ln9211250,hi264
349446126,k2p_product/349446126,_ibCpVu6--_,,Y,,,,FC,,,,,,HI264,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235007 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350071,,CD235 ,12352203,,,,,,9212350071,,,,CD235 Human iFluor 532 Antibody,,,,9212350071,,,LN9211251,9212350071,false,LabNed,,,,cd235-human-ifluor-532-antibody-ln9211251,,cd235humanifluor532antibody,ln9211251,hi264
349446128,k2p_product/349446128,_ibCpVu6--K,,Y,,,,FC,,,,,,HI264,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235008 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350080,,CD235 ,12352203,,,,,,9212350080,,,,CD235 Human iFluor 546 Antibody,,,,9212350080,,,LN9211252,9212350080,false,LabNed,,,,cd235-human-ifluor-546-antibody-ln9211252,,cd235humanifluor546antibody,ln9211252,hi264
349446130,k2p_product/349446130,_ibCpVu6--W,,Y,,,,FC,,,,,,HI264,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235008 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350081,,CD235 ,12352203,,,,,,9212350081,,,,CD235 Human iFluor 546 Antibody,,,,9212350081,,,LN9211253,9212350081,false,LabNed,,,,cd235-human-ifluor-546-antibody-ln9211253,,cd235humanifluor546antibody,ln9211253,hi264
349446132,k2p_product/349446132,_ibCpVu6--i,,Y,,,,FC,,,,,,HI264,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235009 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350090,,CD235 ,12352203,,,,,,9212350090,,,,CD235 Human iFluor 555 Antibody,,,,9212350090,,,LN9211254,9212350090,false,LabNed,,,,cd235-human-ifluor-555-antibody-ln9211254,,cd235humanifluor555antibody,ln9211254,hi264
349446134,k2p_product/349446134,_ibCpVu6--t,,Y,,,,FC,,,,,,HI264,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235009 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350091,,CD235 ,12352203,,,,,,9212350091,,,,CD235 Human iFluor 555 Antibody,,,,9212350091,,,LN9211255,9212350091,false,LabNed,,,,cd235-human-ifluor-555-antibody-ln9211255,,cd235humanifluor555antibody,ln9211255,hi264
